insert into clientes (cedula, nombre) values (678021056, 'Tove');
insert into clientes (cedula, nombre) values (545637636, 'Jerrome');
insert into clientes (cedula, nombre) values (154473949, 'Brynne');
insert into clientes (cedula, nombre) values (425551844, 'Christian');
insert into clientes (cedula, nombre) values (181634002, 'Lucia');
insert into clientes (cedula, nombre) values (762583319, 'Quincey');
insert into clientes (cedula, nombre) values (148355286, 'Dannie');
insert into clientes (cedula, nombre) values (851282013, 'Raimund');
insert into clientes (cedula, nombre) values (285876315, 'Risa');
insert into clientes (cedula, nombre) values (898166430, 'Nelli');


insert into sucursales (nombre) values ('Tambee');
insert into sucursales (nombre) values ('Thoughtstorm');
insert into sucursales (nombre) values ('Brightbean');
insert into sucursales (nombre) values ('Zoonoodle');
insert into sucursales (nombre) values ('Twitternation');
insert into sucursales (nombre) values ('Yakitri');
insert into sucursales (nombre) values ('Twimm');
insert into sucursales (nombre) values ('Thoughtbeat');
insert into sucursales (nombre) values ('Izio');
insert into sucursales (nombre) values ('Twimbo');


insert into productos (ID, nombre, nombreSucursal) values (1, 'Ensalada de kiwi y gambas', 'Tambee');
insert into productos (ID, nombre, nombreSucursal) values (2, 'Ensalada de pasta con salchichón', 'Thoughtstorm');
insert into productos (ID, nombre, nombreSucursal) values (3, 'Paté de surimi', 'Brightbean');
insert into productos (ID, nombre, nombreSucursal) values (4, 'Repollo con calabacín, pimiento y jamón', 'Zoonoodle');
insert into productos (ID, nombre, nombreSucursal) values (5, 'Verduras escabechadas', 'Twitternation');
insert into productos (ID, nombre, nombreSucursal) values (6, 'Arroz con calabaza', 'Yakitri');
insert into productos (ID, nombre, nombreSucursal) values (7, 'Macarrones boloñesa', 'Twimm');
insert into productos (ID, nombre, nombreSucursal) values (8, 'Arroz caldoso con especias', 'Thoughtbeat');
insert into productos (ID, nombre, nombreSucursal) values (9, 'Macarrones con lomo adobado y pimientos', 'Izio');
insert into productos (ID, nombre, nombreSucursal) values (10, 'Lasaña de pollo y espinacas', 'Twimbo');
insert into productos (ID, nombre, nombreSucursal) values (11, 'Calamares al whisky', 'Tambee');
insert into productos (ID, nombre, nombreSucursal) values (12, 'Pastel de salmón', 'Thoughtstorm');
insert into productos (ID, nombre, nombreSucursal) values (13, 'Pescado y mejillones en salsa', 'Brightbean');
insert into productos (ID, nombre, nombreSucursal) values (14, 'Sardinas a la sal', 'Zoonoodle');
insert into productos (ID, nombre, nombreSucursal) values (15, 'Sepia al ajillo', 'Twitternation');
insert into productos (ID, nombre, nombreSucursal) values (16, 'Conejo a las finas hierbas', 'Yakitri');
insert into productos (ID, nombre, nombreSucursal) values (17, 'Escaldums de pavo', 'Twimm');
insert into productos (ID, nombre, nombreSucursal) values (18, 'Pechuga de pollo a la naranja', 'Thoughtbeat');
insert into productos (ID, nombre, nombreSucursal) values (19, 'Alitas de pollo', 'Izio');
insert into productos (ID, nombre, nombreSucursal) values (20, 'Albóndigas de ternera', 'Twimbo');
insert into productos (ID, nombre, nombreSucursal) values (21, 'Crema de cebolla con cerveza', 'Tambee');
insert into productos (ID, nombre, nombreSucursal) values (22, 'Crema fría de aguacate', 'Thoughtstorm');
insert into productos (ID, nombre, nombreSucursal) values (23, 'Sopa de apio con patata', 'Brightbean');
insert into productos (ID, nombre, nombreSucursal) values (24, 'Sopa de verduras y jamón con huevo poché', 'Zoonoodle');
insert into productos (ID, nombre, nombreSucursal) values (25, 'Gazpacho de espárragos', 'Twitternation');
insert into productos (ID, nombre, nombreSucursal) values (26, 'Empanada de alcachofas', 'Yakitri');
insert into productos (ID, nombre, nombreSucursal) values (27, 'Hornazo de Salamanca', 'Twimm');
insert into productos (ID, nombre, nombreSucursal) values (28, 'Molinetes de hojaldre y ternera', 'Thoughtbeat');
insert into productos (ID, nombre, nombreSucursal) values (29, 'Tarta salada de calabaza', 'Izio');
insert into productos (ID, nombre, nombreSucursal) values (30, 'Tarta salda de puerros', 'Twimbo');
insert into productos (ID, nombre, nombreSucursal) values (31, 'Pan de aceitunas', 'Tambee');
insert into productos (ID, nombre, nombreSucursal) values (32, 'Pan a la plancha', 'Thoughtstorm');
insert into productos (ID, nombre, nombreSucursal) values (33, 'Pan nevado', 'Brightbean');
